@relation microarray

@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute seedGC numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-26.8,-18.1,3,1,Non-Target
-16.09,-16,2,2,Non-Target
-24,-18.6,3,1,Non-Target
-21.1,-18.6,3,1,Non-Target
-22.8,-18.1,3,1,Non-Target
-28.5,-18.6,3,1,Non-Target
-19.1,-16.2,2,1,Non-Target
-19.5,-18.6,3,1,Non-Target
-24.5,-16.2,2,2,Non-Target
-20.3,-16.2,2,2,Non-Target
-20,-12.3,2,5,Non-Target
-24.6,-22.1,5,1,Non-Target
-29.1,-15.9,2,1,Non-Target
-29.5,-22.1,5,1,Non-Target
-24.1,-22.1,5,1,Non-Target
-29.2,-22.1,5,1,Non-Target
-25.2,-20.8,4,1,Non-Target
-24.7,-22.1,5,1,Non-Target
-23.6,-22.1,5,1,Non-Target
-14.3,-15.9,2,1,Non-Target
-21.8,-15.9,2,1,Non-Target
-27.4,-22.1,5,1,Non-Target
-19.52,-18.2,3,1,Non-Target
-28.2,-16,3,5,Non-Target
-23.2,-20,4,3,Non-Target
-21.3,-19.2,3,1,Non-Target
-28.3,-19.2,3,1,Non-Target
-16.7,-19.2,3,1,Non-Target
-30.3,-20.5,4,1,Non-Target
-21.1,-19,3,2,Non-Target
-31.4,-14.5,3,5,Non-Target
-28,-19,3,2,Non-Target
-28.2,-14.9,2,2,Non-Target
-27.2,-14.5,3,5,Non-Target
-31.4,-18.7,3,3,Non-Target
-30.34,-19.1,3,1,Non-Target
-28.5,-18.6,3,2,Non-Target
-23.5,-19,3,2,Non-Target
-30.2,-19,3,2,Non-Target
