@relation microarray

@attribute seedMFE numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-18.6,2,Non-Target
-18.8,1,Non-Target
-19,2,Non-Target
-19,2,Non-Target
-19,2,Non-Target
-19,2,Non-Target
-19,2,Non-Target
-19,2,Non-Target
-19,2,Non-Target
-18.6,2,Non-Target
-18.6,2,Non-Target
-15,5,Non-Target
-12.9,5,Non-Target
-19,2,Non-Target
-19,2,Non-Target
-18.7,3,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-12.3,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-16.2,2,Non-Target
-18,2,Non-Target
-16.2,2,Non-Target
-16.2,2,Non-Target
-19,1,Non-Target
-16.4,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-18,2,Non-Target
-16.2,2,Non-Target
-20.4,2,Non-Target
-20.4,2,Non-Target
-20.4,2,Non-Target
-20.4,2,Non-Target
-18.2,2,Non-Target
-20.4,2,Non-Target
-20.1,2,Non-Target
-20.4,2,Non-Target
-16,5,Non-Target
-16,5,Non-Target
-20.1,2,Non-Target
-17.5,2,Non-Target
-17.5,2,Non-Target
-20.1,2,Non-Target
-16,5,Non-Target
-20.1,2,Non-Target
-17.2,1,Non-Target
-11.1,5,Non-Target
-15.2,1,Non-Target
